04/16-15:17:44.444203 ,"RPC portmap sadmind request UDP",202.77.162.213,33894,172.16.115.20,111
04/16-15:17:44.460405 ,"RPC sadmind query with root credentials attempt UDP",202.77.162.213,33896,172.16.115.20,32773
04/16-15:17:44.460405 ,"RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt",202.77.162.213,33896,172.16.115.20,32773
04/16-15:17:46.492942 ,"RPC portmap sadmind request UDP",202.77.162.213,33910,172.16.115.20,111
04/16-15:17:46.508871 ,"RPC sadmind query with root credentials attempt UDP",202.77.162.213,33912,172.16.115.20,32773
04/16-15:17:46.508871 ,"RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt",202.77.162.213,33912,172.16.115.20,32773
04/16-15:41:48.934543 ,"INFO TELNET access",172.16.115.20,23,202.77.162.213,32650
04/16-15:42:51.385197 ,"RPC portmap sadmind request UDP",172.16.115.20,33368,172.16.112.50,111
04/16-15:42:51.389694 ,"RPC sadmind query with root credentials attempt UDP",172.16.115.20,33368,172.16.112.50,32773
04/16-15:42:51.389694 ,"RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt",172.16.115.20,33368,172.16.112.50,32773
04/16-15:42:52.436996 ,"RPC portmap sadmind request UDP",172.16.115.20,33369,172.16.112.50,111
04/16-15:42:52.441120 ,"RPC sadmind query with root credentials attempt UDP",172.16.115.20,33369,172.16.112.50,32773
04/16-15:42:52.441120 ,"RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt",172.16.115.20,33369,172.16.112.50,32773
04/16-15:44:54.996067 ,"INFO TELNET access",172.16.112.50,23,172.16.115.20,32841
04/16-16:04:43.649257 ,"INFO TELNET access",172.16.115.20,23,202.77.162.213,34888
04/16-16:05:09.407988 ,"INFO TELNET access",172.16.112.50,23,172.16.115.20,32844
04/16-16:06:15.627609 ,"ICMP Destination Unreachable Port Unreachable",172.16.112.50,,172.16.115.20,
04/16-15:17:47.088829 ,"RPC portmap sadmind request UDP",202.77.162.213,822,172.16.115.20,111
04/16-15:17:47.104324 ,"RPC sadmind query with root credentials attempt UDP",202.77.162.213,823,172.16.115.20,33895
04/16-15:17:47.104324 ,"RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt",202.77.162.213,823,172.16.115.20,33895
04/16-15:17:49.137376 ,"RPC portmap sadmind request UDP",202.77.162.213,823,172.16.115.20,111
04/16-15:17:49.152640 ,"RPC sadmind query with root credentials attempt UDP",202.77.162.213,824,172.16.115.20,33911
04/16-15:17:49.152640 ,"RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt",202.77.162.213,824,172.16.115.20,33911
04/16-15:41:51.574014 ,"INFO TELNET access",172.16.115.20,23,202.77.162.213,2400
04/16-16:04:46.283980 ,"INFO TELNET access",172.16.115.20,23,202.77.162.213,2401
